#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
145,JAY-Z,"5,639,113,483",304,0,10,70,229,9/14/96,9203,solo,145,"4,871,667,870",11/15/21
146,Fleetwood Mac,"5,602,112,225",706,0,10,42,225,1/31/70,18926,group,146,"507,371",11/13/21
147,Machine Gun Kelly,"5,560,671,399",114,0,11,88,105,9/22/18,1160,solo,147,"813,466,130",11/21/21
148,Russ,"5,540,641,891",338,0,14,101,229,11/12/16,1839,solo,148,"106,099,166",11/11/21
149,SZA,"5,524,163,775",39,0,15,32,38,8/19/17,1559,solo,149,"1,852,563,990",11/21/21
150,Britney Spears,"5,515,398,267",289,0,15,55,171,11/21/98,8405,solo,150,"529,117,592",11/23/21
151,Guns N' Roses,"5,513,179,500",135,1,10,45,105,6/25/88,12206,group,151,0,11/15/21
152,Jonas Blue,"5,467,927,650",138,0,9,32,87,NA,NA,solo,152,"96,251,650",5/25/21
153,Childish Gambino,"5,444,231,908",85,1,11,62,82,12/21/13,2896,solo,153,"542,110,894",11/15/21
154,Bastille,"5,441,519,588",178,1,10,69,140,8/31/13,3008,group,154,"142,408,519",11/3/21
155,$uicideboy$,"5,395,021,076",300,0,9,113,297,NA,NA,group,155,"194,095,137",11/23/21
156,Banda MS de Sergio Liz?raga,"5,351,958,222",224,0,15,92,207,NA,NA,group,156,"2,401,371",11/17/21
157,2Pac,"5,252,472,380",325,0,15,70,236,7/3/93,10372,solo,157,"288,943,038",11/23/21
158,Skrillex,"5,242,396,447",145,0,12,69,130,11/19/11,3659,solo,158,"1,517,779,451",10/18/21
159,Anitta,"5,240,536,563",151,0,18,76,138,NA,NA,solo,159,"1,151,512,388",11/23/21
160,Big Sean,"5,232,165,519",151,0,13,67,124,12/29/12,3253,solo,160,"5,528,705,021",11/23/21
161,Alessia Cara,"5,207,306,262",130,0,8,38,75,8/22/15,2287,solo,161,"1,490,794,160",10/31/21
162,Usher,"5,174,788,356",252,0,15,51,162,9/3/94,9945,solo,162,"2,857,841,190",11/23/21
163,Lorde,"5,158,186,315",55,0,17,38,50,7/20/13,3050,solo,163,"265,944,329",11/10/21
164,Kid Cudi,"5,154,524,304",141,0,10,81,137,1/31/09,4681,solo,164,"1,140,662,696",11/15/21
165,David Bowie,"5,126,200,440","1,224",1,11,58,294,4/15/72,18121,solo,165,"29,020,912",11/23/21
166,Gorillaz,"5,112,189,917",280,0,8,90,193,8/25/01,7397,group,166,"1,219,786",11/22/21
167,50 Cent,"5,105,833,115",214,0,13,57,141,11/30/02,6935,solo,167,"2,260,236,594",11/23/21
168,Camilo,"5,101,535,074",37,0,17,33,35,NA,NA,solo,168,"703,236,268",11/9/21
169,Reik,"5,079,388,879",160,0,13,65,135,NA,NA,solo,169,"246,613,573",8/10/21
170,Hozier,"5,054,022,527",62,1,13,42,61,8/30/14,2644,group,170,"5,300,523",11/18/21
171,Becky G,"4,997,102,853",88,0,12,49,86,6/21/14,2714,solo,171,"1,222,996,023",11/23/21
172,The Killers,"4,936,102,818",206,1,8,66,136,9/4/04,6291,group,172,"285,751",11/19/21
173,Foo Fighters,"4,902,940,362",236,0,11,73,162,10/16/99,8076,group,173,"1,996,516",11/21/21
174,Mariah Carey,"4,892,540,356",638,0,10,64,231,6/2/90,11499,solo,174,"330,457,977",11/22/21
175,Meek Mill,"4,886,700,485",438,0,7,88,188,3/21/15,2441,solo,175,"1,823,683,656",11/20/21
176,French Montana,"4,873,054,883",555,1,11,50,128,7/6/13,3064,solo,176,"3,046,541,784",5/26/21
177,blink-182,"4,857,200,241",185,0,10,83,172,NA,NA,group,177,"53,156,973",11/17/21
178,Mar?ia Mendon?,"4,851,047,238",112,0,17,87,105,NA,NA,solo,178,"1,213,125,119",11/23/21
179,John Legend,"4,794,741,255",247,1,6,60,183,10/2/04,6263,solo,179,"2,208,443,484",11/20/21
180,Tory Lanez,"4,792,221,603",216,0,13,76,183,11/7/15,2210,solo,180,"2,099,200,775",9/24/21
181,U2,"4,768,710,676",500,0,7,75,285,4/2/83,14117,group,181,"261,837,568",11/23/21
182,Led Zeppelin,"4,753,340,698",240,0,11,62,186,3/29/69,19234,group,182,"99,527",11/23/21
183,Meghan Trainor,"4,752,007,915",137,0,10,52,104,7/26/14,2679,solo,183,"931,419,928",11/23/21
184,The Neighbourhood,"4,738,925,347",90,1,8,63,90,6/22/13,3078,group,184,"328,387",11/21/21
185,Rae Sremmurd,"4,720,854,642",60,0,12,41,59,8/16/14,2658,solo,185,"510,345,125",11/10/21
186,Rita Ora,"4,693,319,973",125,0,12,38,83,6/9/12,3456,solo,186,"680,760,994",11/21/21
187,Ava Max,"4,691,535,160",96,1,11,33,67,12/29/18,1062,solo,187,"182,867,858",11/23/21
188,Luke Combs,"4,685,726,564",55,0,10,53,55,3/4/17,1727,solo,188,"126,689,854",11/8/21
189,Gucci Mane,"4,684,519,083","2,175",0,5,76,300,10/6/07,5164,solo,189,"4,718,423,987",11/21/21
190,Daft Punk,"4,682,411,741",181,0,9,74,134,8/30/97,8853,group,190,"2,903,060,511",10/5/21
191,6ix9ine,"4,663,502,954",58,0,16,36,53,12/2/17,1454,solo,191,"1,023,333,105",11/17/21
192,The 1975,"4,644,082,925",132,0,11,75,129,2/8/14,2847,group,192,"138,073,120",11/19/21
193,Polo G,"4,618,699,517",61,0,11,59,61,4/25/20,579,solo,193,"1,223,713,833",11/17/21
194,Mumford & Sons,"4,581,748,564",121,0,8,66,109,8/28/10,4107,group,194,"14,628,830",9/16/21
195,Manuel Turizo,"4,561,050,167",56,0,15,40,56,NA,NA,solo,195,"1,972,111,153",10/12/21
196,Roddy Ricch,"4,557,312,174",40,1,13,31,39,5/18/19,922,solo,196,"2,787,059,215",11/14/21
197,Radiohead,"4,556,049,963",232,0,6,87,196,6/26/93,10379,group,197,"1,683,170",11/21/21
198,System Of A Down,"4,544,081,727",83,0,9,67,78,1/5/02,7264,group,198,"415,401",11/23/21
199,Jhay Cortez,"4,516,714,347",78,1,8,39,76,NA,NA,solo,199,"679,540,587",11/21/21
200,The Kid LAROI,"4,506,404,474",48,1,13,38,46,11/7/20,383,solo,200,"623,021,437",11/22/21
201,Muse,"4,502,940,211",242,0,10,81,175,8/22/09,4478,group,201,0,11/16/21
202,Elvis Presley,"4,488,952,722","2,189",0,8,67,345,11/1/58,23035,solo,202,"4,982,087",11/10/21
203,Joji,"4,470,165,878",51,0,14,41,51,3/30/19,971,solo,203,"602,818,690",11/1/21
204,Swae Lee,"4,470,055,992",58,1,10,31,54,NA,NA,solo,204,"5,105,441,098",11/16/21
205,Jack Johnson,"4,464,351,377",180,0,6,76,164,8/3/02,7054,solo,205,"26,277,507",10/1/21
206,Snoop Dogg,"4,430,624,486",690,0,9,54,247,12/4/93,10218,solo,206,"5,435,937,451",11/7/21
207,Hailee Steinfeld,"4,429,208,901",29,0,10,18,27,8/29/15,2280,solo,207,"596,793,942",11/21/21
208,The Notorious B.I.G.,"4,418,824,239",178,0,10,52,120,8/27/94,9952,solo,208,"590,266,832",11/9/21
209,Jorge & Mateus,"4,398,940,181",253,0,8,87,240,NA,NA,group,209,"969,258,232",11/15/21
210,Bazzi,"4,391,026,336",37,0,12,32,37,2/3/18,1391,solo,210,"58,360,988",10/8/21
211,Oasis,"4,340,213,937",221,1,7,48,171,1/27/96,9434,group,211,0,11/3/21
212,Jess Glynne,"4,314,528,793",83,0,10,32,60,10/3/15,2245,solo,212,"457,175,950",11/15/21
213,Paramore,"4,302,321,303",113,0,10,66,99,7/21/07,5241,group,213,"524,899",11/23/21
214,Don Omar,"4,270,072,099",231,0,12,50,117,6/24/06,5633,solo,214,"1,686,536,234",11/22/21
215,Troye Sivan,"4,260,425,818",100,0,10,51,82,8/9/14,2665,solo,215,"799,232,498",11/21/21
216,Cheat Codes,"4,244,935,054",136,0,7,39,82,NA,NA,group,216,"279,211,217",11/8/21
217,Christina Aguilera,"4,241,448,432",272,0,9,52,158,7/3/99,8181,solo,217,"2,256,893,623",11/1/21
218,Felix Jaehn,"4,220,719,529",156,1,11,33,88,NA,NA,solo,218,"227,877,670",9/4/21
219,Frank Sinatra,"4,203,662,945","1,860",0,9,69,299,10/25/58,23042,solo,219,"54,954,665",6/25/21
220,Julia Michaels,"4,200,124,283",64,0,7,36,61,2/11/17,1748,solo,220,"1,545,638,593",11/5/21
