#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
333,Johnny Cash,"3,068,093,371","1,561",0,6,47,219,10/4/58,23063,solo,333,"100,275,517",1/4/21
334,Mark Ronson,"3,066,439,062",151,1,4,23,82,NA,NA,solo,334,"1,105,229,004",11/17/21
335,Passenger,"3,047,211,461",216,1,2,44,177,8/17/13,3022,solo,335,"1,798,813",9/29/21
336,Lizzo,"3,044,839,773",64,0,6,25,49,5/18/19,922,solo,336,"49,724,849",11/17/21
337,Celine Dion,"3,044,680,663",493,0,5,52,241,NA,NA,solo,337,"44,474,768",11/23/21
338,Aventura,"3,039,952,691",132,0,10,37,107,4/20/19,950,group,338,"272,099",11/7/21
339,The Strokes,"3,035,560,945",82,0,6,63,73,10/22/05,5878,group,339,"2,116,233",10/10/21
340,Ricky Martin,"3,029,539,895",266,0,6,48,132,7/20/96,9259,solo,340,"393,710,807",11/23/21
341,Lin-Manuel Miranda,"3,014,041,417",85,0,9,37,59,NA,NA,solo,341,"189,578,224",8/16/21
342,Jack Harlow,"3,013,058,515",81,0,6,25,75,11/7/20,383,solo,342,"206,413,774",11/22/21
343,Lukas Graham,"3,005,994,250",60,1,3,25,49,2/6/16,2119,solo,343,"158,206,429",9/21/21
344,Avenged Sevenfold,"2,994,656,347",164,0,8,59,129,11/12/05,5857,group,344,"1,889,849",7/1/21
345,The Offspring,"2,981,916,869",160,0,7,41,122,12/5/98,8391,group,345,0,8/19/21
346,H.E.R.,"2,981,391,846",99,0,6,49,91,4/14/18,1321,solo,346,"375,180,739",11/23/21
347,Jul,"2,973,006,471",522,0,0,64,495,NA,NA,solo,347,"608,863,254",11/18/21
348,24kGoldn,"2,970,355,093",53,1,6,18,47,11/23/19,733,solo,348,"122,554,204",10/28/21
349,Bob Dylan,"2,966,334,213","1,305",0,6,41,307,4/3/65,20690,solo,349,0,11/20/21
350,Marc Anthony,"2,964,609,408",188,0,6,56,135,9/11/99,8111,solo,350,"1,571,709,749",11/23/21
351,Cartel De Santa,"2,955,920,850",136,0,6,60,126,NA,NA,group,351,"174,691,552",11/18/21
352,Train,"2,953,135,246",170,0,6,20,83,10/9/99,8083,group,352,0,10/9/21
353,2 Chainz,"2,952,016,003",391,0,7,48,156,12/1/12,3281,solo,353,"7,707,211,391",6/3/21
354,Duki,"2,945,641,583",124,0,7,48,112,NA,NA,solo,354,"732,671,579",11/20/21
355,Pablo Albor?,"2,943,109,408",170,0,8,59,157,NA,NA,solo,355,"199,595,697",11/17/21
356,Foster The People,"2,914,530,104",90,1,6,36,68,5/14/11,3848,group,356,"28,653,784",9/3/21
357,Pentatonix,"2,905,992,219",198,0,2,91,163,12/21/13,2896,group,357,"3,908,634",11/20/21
358,Ricardo Arjona,"2,895,999,257",337,0,2,67,258,NA,NA,solo,358,"7,840,502",9/3/21
359,Calibre 50,"2,885,021,215",227,0,4,66,164,NA,NA,group,359,"65,001,008",11/17/21
360,ScHoolboy Q,"2,878,619,690",103,0,7,50,98,2/8/14,2847,solo,360,"1,304,426,537",1/19/21
361,James Blunt,"2,858,174,256",160,0,6,42,103,11/12/05,5857,solo,361,"16,816,870",10/9/21
362,Daniel Caesar,"2,844,617,347",36,0,6,32,35,NA,NA,solo,362,"961,532,352",10/17/21
363,Rudimental,"2,844,040,533",188,0,6,30,112,NA,NA,group,363,"19,915,054",8/28/21
364,Lil Yachty,"2,828,394,787",175,0,6,50,146,8/13/16,1930,solo,364,"4,327,359,058",11/5/21
365,Macklemore & Ryan Lewis,"2,803,083,548",35,1,5,18,35,NA,NA,group,365,0,1/2/21
366,Armin van Buuren,"2,795,922,270","2,179",0,4,43,288,NA,NA,solo,366,"189,205,318",9/4/21
367,Liam Payne,"2,772,394,974",51,0,7,16,39,11/11/17,1475,solo,367,"16,404,920",11/23/21
368,Offset,"2,768,909,263",46,0,7,28,34,3/2/19,999,solo,368,"5,159,683,090",11/18/21
369,Bon Iver,"2,756,547,170",59,0,5,47,55,NA,NA,group,369,"743,238,757",8/7/21
370,Nelly,"2,755,444,945",208,0,8,27,89,4/29/00,7880,solo,370,"623,647,681",11/7/21
371,Don Toliver,"2,752,765,413",66,0,5,25,58,12/14/19,712,solo,371,"542,484,098",10/31/21
372,Sam Hunt,"2,747,992,556",59,0,7,31,54,7/12/14,2693,solo,372,"16,649,604",9/3/21
373,Dire Straits,"2,745,386,315",100,0,5,38,95,2/10/79,15629,group,373,"1,066,153",10/14/21
374,Sigala,"2,741,489,245",100,0,9,28,67,NA,NA,solo,374,"49,758,671",10/18/21
375,Anderson .Paak,"2,740,649,062",146,0,2,63,114,NA,NA,solo,375,"1,131,075,799",11/22/21
376,Bee Gees,"2,727,559,666",447,0,5,33,104,5/27/67,19906,group,376,"50,437,329",11/22/21
377,LANY,"2,727,557,847",84,0,8,56,77,NA,NA,solo,377,"258,547,114",11/21/21
378,Glass Animals,"2,725,334,048",93,0,4,42,74,1/16/21,313,group,378,"3,282,966",11/1/21
379,BROCKHAMPTON,"2,721,341,546",112,0,4,67,107,NA,NA,group,379,"890,395",11/15/21
380,Bryan Adams,"2,714,849,291",350,0,6,32,122,3/13/82,14502,solo,380,"128,622,453",10/14/21
381,Quavo,"2,712,821,401",77,0,5,43,64,8/25/18,1188,solo,381,"9,478,635,777",11/21/21
382,Ski Mask The Slump God,"2,710,014,009",70,0,7,39,69,12/15/18,1076,solo,382,"933,185,185",11/2/21
383,Jhen?Aiko,"2,708,288,613",113,0,7,62,91,NA,NA,solo,383,"2,325,235,116",11/22/21
384,Blake Shelton,"2,706,078,827",198,0,7,40,124,5/26/01,7488,solo,384,"208,035,667",11/22/21
385,Charli XCX,"2,692,721,214",191,0,8,41,129,6/21/14,2714,solo,385,"1,260,171,665",11/20/21
386,Mike Posner,"2,684,289,686",179,1,3,19,69,5/15/10,4212,solo,386,"267,985,880",11/15/21
387,Arijit Singh,"2,678,542,360",467,0,1,66,212,NA,NA,solo,387,"551,936,173",11/23/21
388,Alec Benjamin,"2,671,165,226",34,0,5,29,33,NA,NA,solo,388,"1,768,648",11/22/21
389,Zac Brown Band,"2,665,284,207",135,0,5,45,105,10/4/08,4800,group,389,"9,980,501",9/16/21
390,Dean Lewis,"2,664,770,895",37,1,6,21,34,11/10/18,1111,solo,390,"1,590,904",10/5/21
391,Lil Durk,"2,660,820,908",303,0,2,49,215,5/23/20,551,solo,391,"1,952,764,770",11/14/21
392,Jeremy Zucker,"2,657,586,274",96,0,6,32,81,NA,NA,solo,392,"132,164,307",10/24/21
393,The Vamps,"2,656,516,116",148,0,8,33,114,NA,NA,group,393,0,10/18/21
394,Cage The Elephant,"2,645,765,503",108,0,5,39,83,6/20/09,4541,group,394,"2,257,395",11/2/21
395,Carlos Vives,"2,634,973,119",253,0,5,33,138,NA,NA,solo,395,"187,400,087",10/11/21
396,Skillet,"2,627,998,295",185,0,7,46,108,9/12/09,4457,group,396,"49,346",11/21/21
397,Iron Maiden,"2,620,068,098",422,0,5,45,265,NA,NA,group,397,0,11/19/21
398,PARTYNEXTDOOR,"2,612,063,990",78,0,8,45,77,2/4/17,1755,solo,398,"1,653,897,950",8/1/21
399,The Black Keys,"2,610,642,075",151,0,5,48,135,11/6/10,4037,group,399,0,9/25/21
400,R3HAB,"2,599,363,557",278,0,3,60,177,NA,NA,solo,400,"1,031,797,301",4/1/21
401,Danny Ocean,"2,597,882,655",46,1,4,21,31,NA,NA,solo,401,"161,803,808",11/7/21
402,Birdy,"2,596,857,584",102,0,7,38,85,NA,NA,solo,402,"81,398,948",11/23/21
403,A$AP Ferg,"2,581,454,063",97,0,5,45,90,6/8/13,3092,solo,403,"1,289,205,780",11/21/21
404,Ninho,"2,575,029,540",129,0,2,84,110,NA,NA,solo,404,"1,180,632,700",8/26/21
405,Maren Morris,"2,561,997,404",58,1,5,22,48,2/13/16,2112,solo,405,"487,404,479",11/22/21
406,The Police,"2,552,546,470",124,0,4,17,83,2/24/79,15615,group,406,"63,893",9/27/21
407,Marvin Gaye,"2,542,567,834",725,0,6,23,103,10/20/62,21586,solo,407,"31,697,491",6/14/21
408,The Doors,"2,542,007,901",700,0,7,44,133,6/3/67,19899,group,408,"22,462,653",11/15/21
409,ILLENIUM,"2,530,287,130",195,0,4,51,138,NA,NA,group,409,"138,316,438",8/24/21
410,Boyce Avenue,"2,527,510,203",414,0,0,59,325,NA,NA,group,410,"172,556",3/9/21
411,Lost Frequencies,"2,526,122,879",343,0,6,26,105,NA,NA,solo,411,"249,791,580",9/16/21
412,Carly Rae Jepsen,"2,522,075,092",137,0,5,31,98,3/10/12,3547,solo,412,"60,002,291",11/14/21
413,Bradley Cooper,"2,505,890,588",12,1,4,10,10,10/20/18,1132,solo,413,"360,983",11/11/21
414,T.I.,"2,505,264,423",452,0,6,37,199,8/2/03,6690,solo,414,"2,375,139,213",10/11/21
415,RAF Camora,"2,497,081,172",334,0,3,57,140,NA,NA,solo,415,"978,379,040",11/20/21
416,Soda Stereo,"2,494,704,075",198,0,4,44,172,NA,NA,group,416,"7,882",11/10/21
417,Chris Stapleton,"2,489,597,830",60,0,7,43,57,11/21/15,2196,solo,417,"535,263,079",11/21/21
418,Tim McGraw,"2,487,273,067",265,0,5,50,125,3/5/94,10127,solo,418,"57,458,469",9/4/21
419,Madison Beer,"2,487,181,150",52,0,10,26,45,NA,NA,solo,419,"123,502,212",11/20/21
420,Rise Against,"2,477,579,916",171,0,4,46,157,2/12/11,3939,group,420,"2,529",6/30/21
421,Calum Scott,"2,474,162,397",61,0,6,19,48,2/11/17,1748,solo,421,"29,436,766",11/18/21
422,John Williams,"2,473,267,821","2,125",0,2,27,321,12/24/77,16042,solo,422,"12,238,904",4/25/21
423,Mabel,"2,469,079,813",122,0,6,20,71,4/6/19,964,solo,423,"7,559,444",11/18/21
424,Iggy Azalea,"2,459,079,514",108,0,6,27,67,5/17/14,2749,solo,424,"1,033,128,041",11/23/21
425,Bibi Blocksberg,"2,454,680,653","5,166",0,0,1,367,NA,NA,solo,425,"76,626",10/9/21
426,Juanes,"2,454,384,110",202,0,7,33,113,4/9/05,6074,solo,426,"652,732,835",8/21/21
427,Lunay,"2,449,610,442",54,0,6,27,50,NA,NA,solo,427,"747,188,315",11/23/21
428,Mau y Ricky,"2,449,094,717",60,0,5,30,57,NA,NA,group,428,"232,947,793",10/26/21
429,Eric Church,"2,449,054,342",250,0,4,49,115,7/22/06,5605,solo,429,"258,711,103",11/12/21
430,SAINt JHN,"2,446,549,724",54,1,1,30,52,4/4/20,600,solo,430,"113,874,585",10/25/21
431,Maiara & Maraisa,"2,437,861,820",147,0,6,48,142,NA,NA,group,431,"649,442,096",11/22/21
432,alt-J,"2,432,389,757",133,0,6,36,84,10/11/14,2602,group,432,"748,988",2/7/21
433,ROSALIA,"2,431,872,126",37,0,5,27,37,NA,NA,solo,433,"1,532,181,923",11/23/21
434,Noah Cyrus,"2,427,723,360",64,0,6,26,57,NA,NA,solo,434,"111,214,218",11/21/21
435,Korn,"2,416,924,467",282,0,4,44,191,5/25/02,7124,group,435,"8,106,247",10/29/21
436,Weezer,"2,410,637,605",252,0,4,41,186,10/1/94,9917,group,436,"4,330,558",9/11/21
437,Summer Walker,"2,405,464,085",86,0,6,47,73,9/7/19,810,solo,437,"828,062,244",11/22/21
438,M?eskin,"2,404,108,879",31,0,4,24,29,NA,NA,solo,438,"2,873,625",11/21/21
439,Norah Jones,"2,397,936,101",265,0,4,54,139,9/28/02,6998,solo,439,"117,250,095",11/22/21
440,Conan Gray,"2,396,056,362",25,0,3,24,25,8/29/20,453,solo,440,0,11/20/21
441,Rich The Kid,"2,394,040,011",156,0,4,41,118,2/24/18,1370,solo,441,"1,720,811,383",11/21/21
442,Nick Jonas,"2,391,622,288",95,0,8,26,73,9/25/10,4079,solo,442,"49,934,337",10/12/21
443,Destiny's Child,"2,390,666,856",165,0,7,18,83,11/29/97,8762,group,443,"16,442,200",11/22/21
444,The Cure,"2,386,064,850",516,0,5,23,164,2/15/86,13067,group,444,"1,105,177",10/17/21
445,Hillsong Worship,"2,382,405,691",830,0,1,59,273,NA,NA,group,445,"13,420,180",4/17/21
446,Journey,"2,379,474,809",260,1,5,17,82,4/8/78,15937,group,446,"3,468",9/4/21
447,Kenny Chesney,"2,379,335,824",277,0,3,48,178,5/9/98,8601,solo,447,"130,548,443",9/16/21
448,La Arrolladora Banda El Lim? De Rene Camacho,"2,377,937,424",323,0,3,56,219,NA,NA,group,448,"8,659,502",3/29/21
449,EXO,"2,373,198,734",310,0,6,53,159,NA,NA,group,449,0,11/23/21
450,Los 햚geles Azules,"2,372,052,568",311,0,5,53,113,NA,NA,group,450,"67,465,206",10/19/21
451,Rex Orange County,"2,362,465,362",46,0,6,31,38,NA,NA,solo,451,"278,794,678",7/5/21
452,Jesse & Joy,"2,353,812,626",106,0,9,35,86,NA,NA,group,452,"305,642,333",10/31/21
453,Normani,"2,350,823,172",15,0,3,12,14,8/31/19,817,solo,453,"96,930,995",11/21/21
454,Bonez MC,"2,343,810,425",159,0,4,51,109,NA,NA,solo,454,"1,455,849,772",11/21/21
455,MAGIC!,"2,336,632,865",66,0,3,17,53,5/10/14,2756,group,455,"192,399,336",1/13/21
456,Paul McCartney,"2,336,588,732",821,0,3,24,163,3/6/71,18527,solo,456,"353,359,001",11/13/21
457,"Amin?,2",335,"019""","139,278,805",72,0,4,68,11/15/21,solo,457,478,37
458,The xx,"2,334,576,947",75,0,5,36,65,NA,NA,group,458,"7,809,950",8/23/21
459,X Ambassadors,"2,333,488,761",119,0,4,32,87,5/2/15,2399,group,459,"1,110,121,969",11/1/21
460,Sam Feldt,"2,316,428,982",148,0,4,44,101,NA,NA,solo,460,"278,689,842",4/22/21
461,JP Cooper,"2,313,756,992",110,0,4,26,78,NA,NA,solo,461,"41,450,367",3/29/21
462,Simon & Garfunkel,"2,313,385,499",172,0,5,24,119,11/20/65,20459,group,462,0,10/18/21
463,PNL,"2,309,815,285",72,0,1,65,72,NA,NA,group,463,0,11/20/21
464,Jon Bellion,"2,309,740,533",85,0,3,44,80,10/29/16,1853,solo,464,"295,021,535",9/21/21
465,Depeche Mode,"2,307,763,422",623,0,3,39,257,5/25/85,13333,group,465,0,10/26/21
466,Breaking Benjamin,"2,306,063,405",102,0,3,51,97,9/11/04,6284,group,466,0,10/28/21
467,Os Bar?s Da Pisadinha,"2,298,872,012",144,0,6,61,118,NA,NA,group,467,"45,953,136",10/20/21
468,Juan Gabriel,"2,298,030,902",476,0,1,52,219,NA,NA,solo,468,"88,525,686",8/28/21
469,Eric Clapton,"2,297,376,676",641,0,6,23,201,10/17/70,18667,solo,469,"432,236,066",9/22/21
470,iann dior,"2,296,968,920",45,0,5,27,42,NA,NA,solo,470,"162,741,711",3/30/21
471,Kid Ink,"2,294,713,265",186,0,5,38,130,NA,NA,solo,471,"2,561,501,342",9/3/21
472,Becky Hill,"2,289,419,718",164,0,7,21,64,NA,NA,solo,472,"25,614,697",10/20/21
473,The Beach Boys,"2,286,152,890","1,422",0,7,25,130,2/17/62,21831,group,473,"6,831,838",11/23/21
474,Volbeat,"2,279,715,119",192,0,5,48,140,NA,NA,group,474,"174,740",11/22/21
475,MEDUZA,"2,278,364,238",45,0,4,10,28,NA,NA,group,475,"9,103,231",10/26/21
476,Ufo361,"2,273,580,644",233,0,0,63,185,NA,NA,solo,476,"563,647,237",10/13/21
477,Dimitri Vegas & Like Mike,"2,269,766,636",252,0,2,52,135,NA,NA,group,477,"105,236,190",8/12/21
478,The Game,"2,260,760,226",727,0,6,36,198,6/4/05,6018,solo,478,"519,652,828",10/30/21
479,Jimi Hendrix,"2,253,337,311",502,0,5,28,134,12/23/67,19696,solo,479,"429,418",11/23/21
480,Bizarrap,"2,243,379,165",77,0,5,50,74,NA,NA,solo,480,"376,175,643",11/14/21
481,Grey,"2,237,009,771",52,1,2,7,21,NA,NA,solo,481,"17,803,531",3/29/21
482,George Michael,"2,231,488,983",187,0,3,31,119,4/26/86,12997,solo,482,"26,266,417",11/23/21
483,MARINA,"2,230,541,292",114,0,4,50,90,NA,NA,solo,483,"6,427,865",11/22/21
484,AJR,"2,229,775,743",86,0,5,35,61,6/21/14,2714,group,484,"92,176,747",10/13/21
485,KYLE,"2,221,095,540",102,0,4,29,84,NA,NA,solo,485,"142,308,083",10/26/21
486,Outkast,"2,220,310,296",163,0,4,23,120,NA,NA,group,486,"77,417,373",1/3/21
487,Matoma,"2,218,870,898",113,0,5,29,76,NA,NA,solo,487,"286,156,543",5/14/21
488,B.o.B,"2,216,408,358",417,0,6,22,79,4/24/10,4233,solo,488,"1,126,272,007",10/13/21
489,Hillsong UNITED,"2,213,882,439",345,0,2,55,221,2/1/14,2854,group,489,"117,014,211",7/6/21
490,Sabrina Carpenter,"2,212,958,841",86,0,6,36,74,2/6/21,292,solo,490,"139,429,191",10/15/21
491,R.E.M.,"2,212,595,321",555,0,5,18,121,7/23/83,14005,group,491,"93,512",11/12/21
492,NLE Choppa,"2,211,884,387",101,0,4,32,80,5/4/19,936,solo,492,"473,864,680",9/27/21
493,Imanbek,"2,202,218,740",49,1,1,15,35,NA,NA,solo,493,"17,589,546",10/9/21
494,Jax Jones,"2,198,370,899",60,0,8,16,40,NA,NA,solo,494,"286,794,203",4/27/21
495,The Fray,"2,197,544,356",98,0,5,22,60,2/25/06,5752,group,495,"4,086,680",11/1/21
496,Samra,"2,196,747,670",103,0,3,50,103,NA,NA,solo,496,"247,667,116",11/21/21
497,Papa Roach,"2,186,301,108",219,0,3,33,136,7/29/00,7789,group,497,"29,615,688",4/3/21
498,Rick Ross,"2,185,132,256",320,0,4,41,182,5/20/06,5668,solo,498,"4,451,513,119",9/23/21
499,T-Pain,"2,174,064,184",209,0,6,28,108,8/27/05,5934,solo,499,"2,648,920,275",10/25/21
500,bbno$,"2,162,043,311",143,0,2,35,114,NA,NA,solo,500,"208,808,519",11/21/21
501,Tate McRae,"2,160,117,039",39,0,5,23,37,9/5/20,446,solo,501,"3,293,039",11/23/21
502,DNCE,"2,154,397,216",31,1,4,17,30,11/7/15,2210,group,502,"288,985,200",9/3/21
503,Milky Chance,"2,153,672,895",57,0,4,28,54,8/9/14,2665,group,503,"6,155,489",10/29/21
504,Robbie Williams,"2,150,770,809",395,0,5,36,189,6/5/99,8209,solo,504,"18,579,742",10/20/21
505,Christina Perri,"2,145,930,404",76,0,3,15,50,7/17/10,4149,solo,505,"60,118,995",6/22/21
506,Rag'n'Bone Man,"2,139,559,897",129,0,3,27,76,4/22/17,1678,solo,506,"71,286,582",10/14/21
507,Van Morrison,"2,137,718,521",842,0,4,19,123,7/15/67,19857,solo,507,"71,743,471",10/23/21
508,Years & Years,"2,136,276,288",87,0,7,28,65,NA,NA,group,508,"71,667,883",7/18/21
509,KHEA,"2,135,366,869",72,0,5,39,69,NA,NA,solo,509,"737,187,743",11/11/21
510,Lynyrd Skynyrd,"2,132,758,541",361,0,4,15,75,7/27/74,17288,group,510,"265,570",11/15/21
511,Juan Mag?,"2,132,723,236",225,0,5,40,105,NA,NA,solo,511,"770,831,049",7/19/21
512,Stormzy,"2,132,107,611",69,0,5,48,67,NA,NA,solo,512,"901,352,007",10/19/21
513,Shinedown,"2,128,837,552",176,0,3,48,115,11/19/05,5850,group,513,0,10/18/21
514,Of Monsters and Men,"2,118,301,290",60,0,5,28,52,NA,NA,group,514,"3,042,587",11/11/21
515,Ludovico Einaudi,"2,116,061,503",507,0,3,38,221,NA,NA,slo,515,"2,128,695",6/29/21
516,Keith Urban,"2,101,360,520",192,0,6,34,111,7/15/00,7803,solo,516,"313,101,546",11/7/21
517,The Smiths,"2,093,543,495",143,0,5,42,107,NA,NA,group,517,"138,291",11/16/21
518,Kali Uchis,"2,089,997,347",63,0,3,47,59,3/6/21,264,solo,518,"1,271,502,521",11/22/21
519,Hollywood Undead,"2,089,253,005",138,0,3,66,124,NA,NA,group,519,"12,917,755",10/24/21
520,Daryl Hall & John Oates,"2,085,197,121",518,0,4,12,60,NA,NA,group,520,"25,877",11/20/21
521,The Cranberries,"2,078,075,509",263,0,4,19,115,10/23/93,10260,group,521,"2,592,891",11/19/21
522,All Time Low,"2,076,356,282",209,0,2,46,158,7/4/09,4527,group,522,"909,165",8/31/21
523,PnB Rock,"2,067,956,562",97,0,5,34,85,11/26/16,1825,solo,523,"1,634,089,922",10/30/21
524,Aya Nakamura,"2,067,262,774",67,0,5,32,67,NA,NA,solo,524,"131,803,710",11/23/21
525,Rage Against The Machine,"2,062,437,666",109,0,3,29,78,10/30/99,8062,group,525,"444,029",10/14/21
526,Black Sabbath,"2,062,006,122",284,0,3,31,113,11/28/70,18625,group,526,"12,240,278",11/20/21
527,Brytiago,"2,051,767,485",76,0,5,34,68,NA,NA,solo,527,"1,765,174,794",11/23/21
528,Sublime,"2,050,727,942",219,0,5,26,115,12/20/97,8741,group,528,"120,272",11/18/21
529,"Earth, Wind & Fire","2,049,724,576",419,0,3,19,64,7/3/71,18408,group,529,"74,980,903",9/1/21
530,Axwell /\ Ingrosso,"2,043,412,175",47,0,4,17,38,NA,NA,group,530,"2,161,352",7/3/21
531,Kodaline,"2,037,946,890",122,0,4,31,84,NA,NA,group,531,"263,807,973",10/31/21
532,A Day To Remember,"2,034,046,038",133,0,3,53,124,NA,NA,group,532,0,8/30/21
533,TOTO,"2,027,598,148",394,1,3,10,75,NA,NA,group,533,"2,940,202",6/20/21
534,Rels B,"2,026,937,993",91,0,2,54,88,NA,NA,solo,534,"16,906,675",5/26/21
535,Sfera Ebbasta,"2,024,711,598",81,0,0,56,80,NA,NA,solo,535,"1,006,905,107",11/21/21
536,GIMS,"2,022,497,969",176,0,2,44,151,NA,NA,solo,536,"249,678,447",10/23/21
537,Melendi,"2,021,962,928",214,0,2,50,189,NA,NA,solo,537,"113,810,448",11/23/21
538,MGMT,"2,016,545,392",86,0,4,20,60,3/21/09,4632,group,538,"836,172,737",11/3/21
539,Andy Grammer,"2,013,708,497",74,0,5,21,69,6/18/11,3813,solo,539,"4,496,550",9/3/21
540,Prince,"2,011,668,993",747,0,4,29,164,11/4/78,15727,solo,540,"3,275,835",11/18/21
541,Vicente Fern?dez,"2,011,298,442",831,0,0,43,283,NA,NA,solo,541,"79,252,787",8/26/21
542,Rod Stewart,"2,001,042,568",730,0,4,36,208,7/17/71,18394,solo,542,"427,305,944",11/21/21
543,C. Tangana,"1,995,556,500",78,0,5,41,76,NA,NA,solo,543,"134,588,745",11/21/21
544,Don Diablo,"1,994,189,382",238,0,1,56,125,NA,NA,solo,544,"100,923,748",11/3/21
545,Aretha Franklin,"1,992,239,829",917,0,4,27,130,10/7/61,21964,solo,545,"12,408,135",11/17/21
546,Dermot Kennedy,"1,989,932,199",65,0,4,34,55,NA,NA,solo,546,0,9/5/21
547,Carrie Underwood,"1,987,425,116",158,0,3,36,110,7/2/05,5990,solo,547,"340,332,204",11/22/21
548,The White Stripes,"1,982,166,424",172,0,3,18,108,5/24/03,6760,group,548,0,9/11/21
549,Enya,"1,981,843,724",143,0,3,49,125,1/21/89,11996,group,549,"404,965,994",11/19/21
550,Scorpions,"1,980,827,575",344,0,5,16,139,6/19/82,14404,group,550,"1,628,754",6/21/21
551,ODESZA,"1,980,615,898",157,0,2,48,124,NA,NA,group,551,"114,604,652",9/4/21
552,Sabaton,"1,976,827,302",259,0,0,66,152,NA,NA,group,552,"986,837",11/7/21
553,Evanescence,"1,968,152,472",109,0,3,26,90,1/10/04,6529,group,553,"26,126",11/15/21
554,Damso,"1,966,562,632",91,0,1,68,88,NA,NA,solo,554,"577,493,597",11/21/21
555,Nelly Furtado,"1,954,409,272",210,0,6,13,55,3/3/01,7572,solo,555,"237,668,108",11/20/21
556,Grupo Firme,"1,952,477,130",198,0,5,47,115,NA,NA,group,556,"373,842,163",10/29/21
557,Bibi und Tina,"1,951,141,273","3,428",0,0,1,354,NA,NA,group,557,"22,746,305",10/9/21
558,George Strait,"1,950,225,073",444,0,2,43,194,10/9/93,10274,solo,558,"27,378,857",11/8/21
559,Mustard,"1,949,734,790",74,0,4,17,53,NA,NA,solo,559,"1,671,534,288",9/3/21
560,Tainy,"1,946,553,010",39,0,3,13,29,NA,NA,solo,560,"1,251,603,662",10/1/21
561,"Pedro Cap?,1",944,"418""","125,128,429",69,0,3,41,7/25/21,solo,561,751,11
562,Bryant Myers,"1,938,711,275",97,0,4,44,87,NA,NA,solo,562,"1,857,271,122",11/14/21
563,El Alfa,"1,936,293,752",171,0,5,35,110,NA,NA,solo,563,"394,695,018",7/17/21
564,Van Halen,"1,935,463,127",188,0,4,24,108,1/28/78,16007,group,564,"23,824",8/9/21
565,WALK THE MOON,"1,928,606,850",89,1,3,24,51,11/22/14,2560,group,565,"99,430,411",9/23/21
566,Shaggy,"1,925,456,469",409,0,5,21,94,8/14/93,10330,solo,566,"446,282,356",9/2/21
567,Luciano,"1,917,406,083",147,0,0,56,118,NA,NA,solo,567,"343,489,329",11/18/21
568,gnash,"1,915,854,995",76,1,2,23,60,NA,NA,solo,568,"271,054,469",9/3/21
569,Sum 41,"1,914,120,930",127,0,5,30,96,9/1/01,7390,group,569,"5,105,171",11/23/21
570,Nacho,"1,909,861,548",111,0,6,24,52,NA,NA,solo,570,"123,482,621",11/4/21
571,Hardwell,"1,904,378,051",412,0,0,45,157,NA,NA,solo,571,"239,216,545",9/4/21
572,Ozzy Osbourne,"1,902,349,747",218,0,3,22,122,3/22/86,13032,solo,572,"55,625,170",11/20/21
573,Marilyn Manson,"1,891,733,736",227,0,3,32,171,NA,NA,solo,573,"48,280,274",10/23/21
574,Two Door Cinema Club,"1,875,524,020",135,0,4,29,88,NA,NA,group,574,"1,802,459",10/1/21
575,Noriel,"1,873,865,176",88,0,4,36,80,NA,NA,solo,575,"1,213,780,774",11/10/21
576,Carlos Rivera,"1,873,483,972",204,0,3,37,140,NA,NA,solo,576,"437,377,632",10/26/21
577,Stray Kids,"1,872,566,904",111,0,2,60,104,NA,NA,group,577,"20,706,231",11/10/21
578,Clairo,"1,869,379,396",25,0,7,25,25,10/24/20,397,solo,578,"619,823,191",11/20/21
579,RAYE,"1,864,212,139",84,0,4,22,52,NA,NA,solo,579,"528,390,467",11/20/21
580,Mac DeMarco,"1,858,140,582",158,0,4,43,111,NA,NA,solo,580,"41,504,498",8/23/21
581,3 Doors Down,"1,855,326,422",145,0,3,17,102,4/8/00,7901,group,581,"587,256",10/30/21
582,Desiigner,"1,852,061,331",51,1,2,14,40,3/12/16,2084,solo,582,"520,531,469",11/21/21
583,Ella Mai,"1,846,702,210",37,0,5,32,36,4/14/18,1321,solo,583,"279,339,801",10/15/21
584,Sara Bareilles,"1,846,574,683",187,0,5,22,108,11/17/07,5122,solo,584,"74,016,418",11/5/21
585,Arizona Zervas,"1,842,426,067",30,1,2,14,30,11/16/19,740,solo,585,"16,427,395",11/22/21
586,De La Ghetto,"1,839,686,676",146,0,4,34,88,NA,NA,solo,586,"2,016,862,956",9/11/21
587,Jorja Smith,"1,835,734,619",68,0,4,38,62,NA,NA,solo,587,"394,177,118",10/5/21
588,Louis Tomlinson,"1,835,676,621",42,0,4,19,28,NA,NA,solo,588,0,11/12/21
589,Alan Jackson,"1,834,172,525",274,0,2,37,156,7/10/93,10365,solo,589,"75,453,285",11/21/21
590,Dave,"1,829,989,579",58,0,4,39,58,NA,NA,solo,590,"100,469,085",10/18/21
591,Ali Gatie,"1,828,589,230",38,0,4,19,34,6/29/19,880,solo,591,"2,004,084",10/27/21
592,Colbie Caillat,"1,825,164,259",105,0,3,17,89,6/2/07,5290,solo,592,"100,772,650",9/2/21
593,Fergie,"1,824,083,843",78,0,6,10,45,8/5/06,5591,solo,593,"176,011,407",10/15/21
